Timepoint	r-20170110-M1-0.25nM-High resolution-3h-4.csv-9	r-20170110-M1-0.25nM-High resolution-3h-4.csv-11	r-20170110-M1-0.25nM-High resolution-3h-5.csv-10	r-20170110-M1-0.25nM-High resolution-3h-5.csv-22	r-20170110-M1-0.25nM-High resolution-3h-5.csv-37	r-20170110-M1-0.25nM-High resolution-3h-5.csv-38
539	NaN	1.904	NaN	1.830	1.890	1.739
540	NaN	1.902	NaN	1.830	1.891	1.743
541	NaN	1.901	NaN	1.831	1.893	1.747
542	NaN	1.901	NaN	1.832	1.895	1.751
543	NaN	1.901	NaN	1.834	1.897	1.754
544	NaN	1.901	NaN	1.836	1.898	1.758
545	NaN	1.900	NaN	1.838	1.900	1.761
546	NaN	1.898	NaN	1.841	1.901	1.764
547	NaN	1.895	NaN	1.843	1.903	1.768
548	NaN	1.894	NaN	1.845	1.904	1.771
549	NaN	1.894	NaN	1.846	1.906	1.774
550	NaN	1.898	NaN	1.846	1.907	1.776
551	NaN	1.903	NaN	1.847	1.909	1.779
552	NaN	1.911	NaN	1.848	1.910	1.782
553	NaN	1.918	NaN	1.848	1.911	1.784
554	NaN	1.923	NaN	1.849	1.913	1.787
555	NaN	1.927	NaN	1.850	1.914	1.789
556	NaN	1.927	NaN	1.851	1.915	1.791
557	NaN	1.924	NaN	1.852	1.916	1.794
558	NaN	1.920	NaN	1.852	1.917	1.796
559	NaN	1.916	NaN	1.851	1.918	1.798
560	NaN	1.912	NaN	1.849	1.919	1.799
561	NaN	1.909	NaN	1.848	1.920	1.801
562	NaN	1.907	NaN	1.846	1.921	1.803
563	NaN	1.906	NaN	1.844	1.922	1.805
564	NaN	1.907	NaN	1.844	1.923	1.806
565	NaN	1.910	NaN	1.844	1.924	1.808
566	NaN	1.912	NaN	1.845	1.925	1.809
567	NaN	1.914	NaN	1.846	1.926	1.811
568	NaN	1.915	NaN	1.847	1.927	1.812
569	NaN	1.916	NaN	1.846	1.928	1.813
570	NaN	1.916	NaN	1.845	1.929	1.814
571	NaN	1.916	NaN	1.843	1.929	1.815
572	NaN	1.916	NaN	1.840	1.930	1.816
